country_code,currency_code,full_price,gender,image_url,item_url,price,product_category,product_code,product_name,product_subcategory
GBR,GBP,680,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/2f396455-3586-4cbf-bb87-f2664a37be23/ihqstx/std/500x0/CAMOUFLAGE-ROCKRUNNER-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-camouflage-rockrunner-sneaker-YS0723TCC_74S,408,SHOES,YS0723TCC_74S,CAMOUFLAGE ROCKRUNNER SNEAKER,TRAINERS
GBR,GBP,930,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/af0fd6c6-15ff-4d49-b319-35d055b8fdfe/ihqstx/std/500x0/MS-2960-LOW-TOP-SNEAKER-IN-FABRIC-AND-CALFSKIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-ms-2960-low-top-sneaker-in-fabric-and-calfskin-YS0F57KJU_74D,558,SHOES,YS0F57KJU_74D,MS-2960 LOW-TOP SNEAKER IN FABRIC AND CALFSKIN,TRAINERS
GBR,GBP,780,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/bc3a6b1b-5fd9-4707-84a5-3dcf59e6b954/ihqstx/std/500x0/VL7N-LOW-TOP-SNEAKER-IN-BANDED-CALFSKIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-vl7n-low-top-calfskin-sneaker-with-bands-YS0C58TJA_6TQ,468,SHOES,YS0C58TJA_6TQ,VL7N LOW-TOP SNEAKER IN BANDED CALFSKIN,TRAINERS
GBR,GBP,930,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/e021440e-2e2c-4fd4-9a17-0a995ed4eaff/ihqstx/std/500x0/MS-2960-LOW-TOP-SNEAKER-IN-FABRIC-AND-CALFSKIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-ms-2960-low-top-sneaker-in-fabric-and-calfskin-YS0F57QHR_74B,558,SHOES,YS0F57QHR_74B,MS-2960 LOW-TOP SNEAKER IN FABRIC AND CALFSKIN,TRAINERS
GBR,GBP,1810,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/60253c4d-df99-4f2b-8adb-526c210a6cd5/ihqstx/std/500x0/Low-Top-Calfskin-VL7N-Sneaker-with-Bands-and-Crystals?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-low-top-calfskin-vl7n-sneaker-with-bands-and-crystals-YS0C58FWJ_E18,1086,SHOES,YS0C58FWJ_E18,Low-Top Calfskin VL7N Sneaker with Bands and Crystals,TRAINERS
GBR,GBP,930,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/89e240a7-5749-4bb5-a7c4-ab937ce05e7a/ihqstx/std/500x0/MS-2960-LOW-TOP-FABRIC-AND-SPLIT-LEATHER-TRAINER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-ms-2960-low-top-fabric-and-split-leather-sneaker-YS0F57HTK_MXY,558,SHOES,YS0F57HTK_MXY,MS-2960 LOW-TOP FABRIC AND SPLIT LEATHER TRAINER,TRAINERS
GBR,GBP,930,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/67096d7c-d4c1-4340-8108-ddfdc5ff20ae/ihqstx/std/500x0/MS-2960-LOW-TOP-SNEAKER-IN-FABRIC-AND-CALFSKIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-ms-2960-low-top-sneaker-in-fabric-and-calfskin-YS0F57KJU_JFL,558,SHOES,YS0F57KJU_JFL,MS-2960 LOW-TOP SNEAKER IN FABRIC AND CALFSKIN,TRAINERS
GBR,GBP,930,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/389d529f-6112-460a-98d7-1099205d24b5/ihqstx/std/500x0/MS-2960-LOW-TOP-SNEAKER-IN-FABRIC-AND-CALFSKIN?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-ms-2960-low-top-sneaker-in-fabric-and-calfskin-YS0F57KJU_74E,558,SHOES,YS0F57KJU_74E,MS-2960 LOW-TOP SNEAKER IN FABRIC AND CALFSKIN,TRAINERS
GBR,GBP,680,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/32218f0a-de75-4316-99d1-8edd222bf0aa/ihqstx/std/500x0/STUD-AROUND-LOW-TOP-CALFSKIN-AND-NAPPA-LEATHER-SNEAKER?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-stud-around-low-top-calfskin-and-nappa-leather-sneaker-YS0G51TUF_Q1X,408,SHOES,YS0G51TUF_Q1X,STUD AROUND LOW-TOP CALFSKIN AND NAPPA LEATHER SNEAKER,TRAINERS
GBR,GBP,780,Man,https://valentino-cdn.thron.com/delivery/public/image/valentino/f9448ec5-8cba-42ac-a74d-7c051737172f/ihqstx/std/500x0/ONE-STUD-NAPPA-LEATHER-LOW-TOP-SNEAKER-?quality\u003d80\u0026size\u003d35\u0026format\u003dauto,https://www.valentino.com/en-gb/product-one-stud-nappa-leather-low-top-sneaker--YS0E71CWA_UZA,468,SHOES,YS0E71CWA_UZA,ONE STUD NAPPA LEATHER LOW-TOP SNEAKER ,TRAINERS
